Country_Name,Country_Code,Time,Time_Code,CO2_emissions_metric_tons_per_capita_,GDP_per_capita_current_US_dollar_,Gini_index_World_Bank_estimate_,Aquaculture_production_metric_tons_,Total_greenhouse_gas_emissions_kt_of_CO2_equivalent_,PM2.5_air_pollution_population_exposed_to_levels_exceeding_WHO_guideline_value_percent_of_total_,Methane_emissions_kt_of_CO2_equivalent_,Access_to_electricity_percent_of_population_,Renewable_energy_consumption_percent_of_total_final_energy_consumption_,Agricultural_land_percent_of_land_area_,Arable_land_percent_of_land_area_,Forest_area_percent_of_land_area_,Population_total_,Life_expectancy_at_birth_total_years_,Fertility_rate_total_births_per_woman_
Andorra,AND,2011,YR2011,5.867410176,43335.32886,NA,NA,NA,100,NA,100,18.97154584,42.06382979,1.638297872,34.04255319,83747,NA,NA
Andorra,AND,2012,YR2012,5.916884031,38686.46126,NA,NA,NA,99.95599732,NA,100,19.19552869,39.91489362,1.617021277,34.04255319,82427,NA,NA
Andorra,AND,2013,YR2013,5.901775324,39538.76672,NA,NA,NA,97.68595932,NA,100,19.56369803,40.0212766,1.723404255,34.04255319,80774,NA,NA
Andorra,AND,2014,YR2014,5.832906215,41303.92937,NA,NA,NA,16.59898025,NA,100,19.88632294,40,1.70212766,34.04255319,79213,NA,NA
Andorra,AND,2015,YR2015,5.969786312,35762.52307,NA,NA,NA,90.84806274,NA,100,19.74780863,40.0212766,1.723404255,34.04255319,78011,NA,NA
Andorra,AND,2016,YR2016,6.072370208,37474.66541,NA,NA,NA,17.41955772,NA,100,NA,40.04255319,1.744680851,34.04255319,77297,NA,NA
Andorra,AND,2017,YR2017,NA,38962.88035,NA,NA,NA,17.82445949,NA,100,NA,40.04255319,1.744680851,34.04255319,77001,NA,NA
Andorra,AND,2018,YR2018,NA,41793.05526,NA,NA,NA,NA,NA,100,NA,40.06382979,1.765957447,34.04255319,77006,NA,NA
Andorra,AND,2019,YR2019,NA,40886.39116,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,77142,NA,NA
Andorra,AND,2020,YR2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua-and-Barbuda,ATG,2011,YR2011,5.751963519,12746.20502,NA,4,537.8058389,100,42.849149,94.55201403,0,20.45454545,9.090909091,19.80454545,89253,75.956,1.989
Antigua-and-Barbuda,ATG,2012,YR2012,5.800097335,13272.44133,NA,10,552.7479143,100,43.273398,100,0,20.45454545,9.090909091,19.65454545,90409,76.087,1.993
Antigua-and-Barbuda,ATG,2013,YR2013,5.729937934,12909.74418,NA,11,NA,100,NA,100,0,20.45454545,9.090909091,19.50454545,91516,76.218,1.998
Antigua-and-Barbuda,ATG,2014,YR2014,5.704803267,13501.58092,NA,13,NA,100,NA,100,0,20.45454545,9.090909091,19.35454545,92562,76.349,2.001
Antigua-and-Barbuda,ATG,2015,YR2015,5.839546416,14286.09316,NA,10,NA,100,NA,100,0,20.45454545,9.090909091,19.20454545,93566,76.483,2.003
Antigua-and-Barbuda,ATG,2016,YR2016,5.896558655,15197.61746,NA,10,NA,100,NA,100,NA,20.45454545,9.090909091,19.04545455,94527,76.617,2.003
Antigua-and-Barbuda,ATG,2017,YR2017,NA,15383.41519,NA,10,NA,100,NA,100,NA,20.45454545,9.090909091,18.90909091,95426,76.752,1.999
Antigua-and-Barbuda,ATG,2018,YR2018,NA,16672.74424,NA,10,NA,NA,NA,99.99972534,NA,20.45454545,9.090909091,18.75,96286,76.885,1.994
Antigua-and-Barbuda,ATG,2019,YR2019,NA,17112.82113,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,97118,77.016,1.987
Antigua-and-Barbuda,ATG,2020,YR2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,ABW,2011,YR2011,24.50751622,24985.99328,NA,2,NA,NA,22.968107,100,5.661788374,11.11111111,11.11111111,2.333333333,102046,75.158,1.779
Aruba,ABW,2012,YR2012,13.15772231,24713.69805,NA,NA,NA,NA,23.195514,100,6.855849569,11.11111111,11.11111111,2.333333333,102560,75.299,1.795
Aruba,ABW,2013,YR2013,8.353561008,26189.43551,NA,0,NA,NA,NA,100,6.889752984,11.11111111,11.11111111,2.333333333,103159,75.441,1.813
Aruba,ABW,2014,YR2014,8.410064178,26647.9381,NA,0,NA,NA,NA,100,6.927501542,11.11111111,11.11111111,2.333333333,103774,75.583,1.834
Aruba,ABW,2015,YR2015,8.610373679,27980.8807,NA,0,NA,NA,NA,100,6.726747566,11.11111111,11.11111111,2.333333333,104341,75.725,1.854
Aruba,ABW,2016,YR2016,8.426910901,28281.35048,NA,0,NA,NA,NA,100,NA,11.11111111,11.11111111,2.333333333,104872,75.868,1.872
Aruba,ABW,2017,YR2017,NA,29007.693,NA,0,NA,NA,NA,100,NA,11.11111111,11.11111111,2.333333333,105366,76.01,1.886
Aruba,ABW,2018,YR2018,NA,NA,NA,0,NA,NA,NA,100,NA,11.11111111,11.11111111,2.333333333,105845,76.152,1.896
Aruba,ABW,2019,YR2019,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,106314,76.293,1.901
Aruba,ABW,2020,YR2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,2011,YR2011,17.53887776,62517.83375,NA,73126.53906,785795.15,36.32342315,124100.3418,100,8.25618115,51.56281322,4.125704542,16.95531026,22340024,81.89512195,1.926
Australia,AUS,2012,YR2012,17.07290468,68012.1479,NA,78992.10156,761686.2739,30.65454271,125588.1936,100,8.247109347,50.38543145,4.118219804,17.04768884,22733465,82.04634146,1.92
Australia,AUS,2013,YR2013,16.09805289,68150.10704,NA,76416.89063,NA,28.27405946,NA,100,9.08848191,48.39371022,4.063991253,17.14006743,23128129,82.14878049,1.855
Australia,AUS,2014,YR2014,15.39110908,62510.79117,34.4,73677.60938,NA,27.10551384,NA,100,9.278198457,48.73839866,4.160251487,17.23244601,23475686,82.3,1.826
Australia,AUS,2015,YR2015,15.33978358,56755.72171,NA,83725.21094,NA,26.04666675,NA,100,9.18050296,45.31442407,4.04705622,17.3248246,23815995,82.4,1.814
Australia,AUS,2016,YR2016,15.53922046,49971.13146,NA,92449.89063,NA,24.90420852,NA,100,NA,44.53992579,3.907556143,17.42548771,24190907,82.44878049,1.752
Australia,AUS,2017,YR2017,NA,54027.96682,NA,89824.92188,NA,24.89358377,NA,100,NA,48.34061794,3.997909522,17.42291362,24601860,82.5,1.741
Australia,AUS,2018,YR2018,NA,57354.96405,NA,96798.52344,NA,NA,NA,100,NA,46.65809501,4.026770601,17.42131456,24982688,82.74878049,1.74
Australia,AUS,2019,YR2019,NA,55057.2047,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,25365745,82.9,1.657
Australia,AUS,2020,YR2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,2011,YR2011,7.753378093,51374.95841,30.8,2904.300049,92315.0526,99.25717078,8137.708272,100,30.98859372,33.39712455,16.46782379,46.83564879,8391643,80.98292683,1.43
Austria,AUT,2012,YR2012,7.393167086,48567.69529,30.5,3125.5,90460.21029,97.41014309,8006.813544,100,33.42653748,33.13225283,16.41471037,46.88320372,8429991,80.93658537,1.44
Austria,AUT,2013,YR2013,7.373937404,50716.70871,30.8,3237,NA,95.76835515,NA,100,34.68060041,32.91369304,16.40474488,46.93986502,8479823,81.13658537,1.44
