name,slug,value_precent,date_of_information,ranking,region
Libya,libya,60.3,2017,1,Africa
Ghana,ghana,16.7,2017,2,Africa
Sierra-Leone,sierra-leone,15.5,2017,3,Africa
Maldives,maldives,14,2012,4,South Asia
Cyprus,cyprus,13.4,2017,5,Europe
Lesotho,lesotho,12.5,2017,6,Africa
Nepal,nepal,12.4,2017,7,South Asia
Tanzania,tanzania,12,2017,8,Africa
Guinea,guinea,11,2017,9,Africa
Kyrgyzstan,kyrgyzstan,10.9,2017,10,Central Asia
Cambodia,cambodia,10.6,2017,11,East Asia/Southeast Asia
Latvia,latvia,10.6,2017,12,Europe
Ethiopia,ethiopia,10.5,2017,13,Africa
Burkina-Faso,burkina-faso,10.4,2017,14,Africa
Bangladesh,bangladesh,10.2,2017,15,South Asia
Grenada,grenada,10,2017,16,Central America
Estonia,estonia,9.5,2017,17,Europe
Turkey,turkey,9.1,2017,18,Middle East
Liberia,liberia,9,2017,19,Africa
Burma,burma,8.9,2017,20,East Asia/Southeast Asia
Yemen,yemen,8.9,2017,21,Middle East
Slovenia,slovenia,8.6,2017,22,Europe
Laos,laos,8,2017,23,East Asia/Southeast Asia
Vietnam,vietnam,8,2017,24,East Asia/Southeast Asia
Ireland,ireland,7.8,2017,25,Europe
Senegal,senegal,7.7,2017,26,Africa
Czechia,czechia,7.5,2017,27,Europe
Poland,poland,7.5,2017,28,Europe
Hungary,hungary,7.4,2017,29,Europe
Philippines,philippines,7.2,2017,30,East Asia/Southeast Asia
Albania,albania,6.8,2017,31,Europe
Antigua-and-Barbuda,antigua-and-barbuda,6.8,2017,32,Central America
Monaco,monaco,6.8,2015,33,Europe
Georgia,georgia,6.7,2017,34,Middle East
Austria,austria,6.5,2017,35,Europe
Bhutan,bhutan,6.3,2017,36,South Asia
Mali,mali,6.3,2017,37,Africa
Panama,panama,6.3,2017,38,Central America
Finland,finland,6.2,2017,39,Europe
China,china,6.1,2017,40,East Asia/Southeast Asia
Niger,niger,6,2017,41,Africa
Saint-Lucia,saint-lucia,6,2017,42,Central America
Lithuania,lithuania,5.9,2017,43,Europe
Bahamas-The,bahamas-the,5.8,2017,44,Central America
Kazakhstan,kazakhstan,5.8,2017,45,Central Asia
Singapore,singapore,5.7,2017,46,East Asia/Southeast Asia
Belarus,belarus,5.6,2017,47,Europe
Eswatini,eswatini,5.6,2017,48,Africa
India,india,5.5,2017,49,South Asia
Romania,romania,5.5,2017,50,Europe
Armenia,armenia,5.4,2017,51,Middle East
Eritrea,eritrea,5.4,2017,52,Africa
Pakistan,pakistan,5.4,2017,53,South Asia
Madagascar,madagascar,5.2,2017,54,Africa
Malaysia,malaysia,5,2017,55,East Asia/Southeast Asia
Saint-Kitts-and-Nevis,saint-kitts-and-nevis,5,2017,56,Central America
Sao-Tome-and-Principe,sao-tome-and-principe,5,2017,57,Africa
Togo,togo,5,2017,58,Africa
Tonga,tonga,5,2017,59,Australia - Oceania
Canada,canada,4.9,2017,60,North America
Mozambique,mozambique,4.9,2017,61,Africa
Zambia,zambia,4.7,2017,62,Africa
Korea-South,korea-south,4.6,2017,63,East Asia/Southeast Asia
Sri-Lanka,sri-lanka,4.6,2017,64,South Asia
Honduras,honduras,4.5,2017,65,Central America
Sudan,sudan,4.5,2017,66,Africa
Uzbekistan,uzbekistan,4.5,2017,67,Central Asia
Vanuatu,vanuatu,4.5,2017,68,Australia - Oceania
Uganda,uganda,4.4,2017,69,Africa
Syria,syria,4.3,2017,70,Middle East
Cote-d'Ivoire,cote-divoire,4.2,2017,71,Africa
Rwanda,rwanda,4.2,2017,72,Africa
Indonesia,indonesia,4.1,2017,73,East Asia/Southeast Asia
Sweden,sweden,4.1,2017,74,Europe
Anguilla,anguilla,4,2017,75,Central America
Spain,spain,4,2017,76,Europe
Central-African-Republic,central-african-republic,3.9,2017,77,Africa
Serbia,serbia,3.9,2017,78,Europe
Taiwan,taiwan,3.9,2017,79,East Asia/Southeast Asia
