name,slug,value_num_people,date_of_information,ranking,region
China,china,"774,710,000",2019,1,East Asia/Southeast Asia
India,india,"521,900,000",2017,2,South Asia
United-States,united-states,"146,128,000",2020,3,North America
Indonesia,indonesia,"129,366,000",2019,4,East Asia/Southeast Asia
Brazil,brazil,"86,621,000",2020,5,South America
Russia,russia,"69,923,000",2020,6,Central Asia
Bangladesh,bangladesh,"66,640,000",2017,7,South Asia
Japan,japan,"66,540,000",2020,8,East Asia/Southeast Asia
Pakistan,pakistan,"61,710,000",2017,9,South Asia
Nigeria,nigeria,"60,080,000",2017,10,Africa
Vietnam,vietnam,"54,659,000",2019,11,East Asia/Southeast Asia
Ethiopia,ethiopia,"52,820,000",2017,12,Africa
Mexico,mexico,"50,914,000",2020,13,North America
Germany,germany,"44,585,000",2020,14,Europe
Philippines,philippines,"41,533,000",2020,15,East Asia/Southeast Asia
Thailand,thailand,"37,546,000",2020,16,East Asia/Southeast Asia
United-Kingdom,united-kingdom,"35,412,000",2020,17,Europe
Iran,iran,"30,500,000",2017,18,Middle East
France,france,"27,742,000",2020,19,Europe
Korea-South,korea-south,"26,839,000",2020,20,East Asia/Southeast Asia
Turkey,turkey,"25,677,000",2020,21,Middle East
Tanzania,tanzania,"24,890,000",2017,22,Africa
Egypt,egypt,"24,113,000",2020,23,Africa
Italy,italy,"22,920,000",2020,24,Europe
Burma,burma,"22,300,000",2017,25,East Asia/Southeast Asia
Congo-Democratic-Republic-of-the,congo-democratic-republic-of-the,"20,692,000",2012,26,Africa
Kenya,kenya,"19,600,000",2017,27,Africa
Colombia,colombia,"19,309,000",2020,28,South America
Spain,spain,"19,057,000",2020,29,Europe
Canada,canada,"18,136,000",2020,30,North America
Argentina,argentina,"18,000,000",2017,31,South America
Nepal,nepal,"16,810,000",2017,32,South Asia
Ukraine,ukraine,"16,033,000",2017,33,Europe
Uganda,uganda,"15,840,000",2015,34,Africa
Malaysia,malaysia,"15,139,000",2020,35,East Asia/Southeast Asia
South-Africa,south-africa,"14,687,000",2020,36,Africa
Venezuela,venezuela,"14,210,000",2017,37,South America
Korea-North,korea-north,"14,000,000",2014,38,East Asia/Southeast Asia
Saudi-Arabia,saudi-arabia,"13,800,000",2017,39,Middle East
Madagascar,madagascar,"13,400,000",2017,40,Africa
Uzbekistan,uzbekistan,"13,273,000",2018,41,Central Asia
Mozambique,mozambique,"12,900,000",2017,42,Africa
Australia,australia,"12,568,000",2020,43,Australia - Oceania
Angola,angola,"12,510,000",2017,44,Africa
Ghana,ghana,"12,490,000",2017,45,Africa
Sudan,sudan,"11,920,000",2007,46,Africa
Taiwan,taiwan,"11,498,000",2020,47,East Asia/Southeast Asia
Algeria,algeria,"10,859,000",2017,48,Africa
Morocco,morocco,"10,399,000",2020,49,Africa
Cameroon,cameroon,"9,912,000",2017,50,Africa
Poland,poland,"9,561,000",2020,51,Europe
Cambodia,cambodia,"8,913,000",2017,52,East Asia/Southeast Asia
Netherlands,netherlands,"8,907,000",2020,53,Europe
Iraq,iraq,"8,900,000",2010,54,Middle East
Cote-d'Ivoire,cote-divoire,"8,747,000",2017,55,Africa
Kazakhstan,kazakhstan,"8,685,000",2020,56,Central Asia
Burkina-Faso,burkina-faso,"8,501,000",2016,57,Africa
Afghanistan,afghanistan,"8,478,000",2017,58,South Asia
Ecuador,ecuador,"8,086,000",2017,59,South America
Sri-Lanka,sri-lanka,"8,000,000",2020,60,South Asia
Zimbabwe,zimbabwe,"7,907,000",2017,61,Africa
Yemen,yemen,"7,425,000",2017,62,Middle East
Chile,chile,"7,249,000",2020,63,South America
Malawi,malawi,"7,000,000",2013,64,Africa
Senegal,senegal,"6,966,000",2017,65,Africa
Zambia,zambia,"6,898,000",2017,66,Africa
Guatemala,guatemala,"6,664,000",2017,67,Central America
Niger,niger,"6,500,000",2017,68,Africa
Mali,mali,"6,447,000",2017,69,Africa
Rwanda,rwanda,"6,227,000",2017,70,Africa
Bolivia,bolivia,"5,719,000",2016,71,South America
Chad,chad,"5,654,000",2017,72,Africa
Guinea,guinea,"5,558,000",2017,73,Africa
United-Arab-Emirates,united-arab-emirates,"5,344,000",2017,74,Middle East
Czechia,czechia,"5,222,000",2020,75,Europe
Switzerland,switzerland,"5,067,000",2020,76,Europe
Sweden,sweden,"5,029,000",2020,77,Europe
Burundi,burundi,"5,012,000",2017,78,Africa
Azerbaijan,azerbaijan,"4,939,000",2019,79,Middle East
Romania,romania,"4,889,000",2020,80,Europe
Dominican-Republic,dominican-republic,"4,732,000",2017,81,Central America
Portugal,portugal,"4,717,000",2020,82,Europe
Cuba,cuba,"4,691,000",2017,83,Central America
Haiti,haiti,"4,594,000",2014,84,Central America
Hungary,hungary,"4,414,000",2020,85,Europe
Belarus,belarus,"4,381,000",2016,86,Europe
Somalia,somalia,"4,154,000",2016,87,Africa
Belgium,belgium,"4,122,000",2020,88,Europe
Tunisia,tunisia,"4,054,000",2017,89,Africa
Greece,greece,"4,000,000",2020,90,Europe
Israel,israel,"3,893,000",2020,91,Middle East
Singapore,singapore,"3,778,000",2019,92,East Asia/Southeast Asia
Syria,syria,"3,767,000",2017,93,Middle East
Austria,austria,"3,739,000",2020,94,Europe
Honduras,honduras,"3,735,000",2017,95,Central America
Papua-New-Guinea,papua-new-guinea,"3,681,000",2017,96,East Asia/Southeast Asia
Benin,benin,"3,662,000",2007,97,Africa
Hong-Kong,hong-kong,"3,627,000",2020,98,East Asia/Southeast Asia
Laos,laos,"3,582,000",2017,99,East Asia/Southeast Asia
Paraguay,paraguay,"3,428,000",2017,100,South America
Peru,peru,"3,421,000",2020,101,South America
Bulgaria,bulgaria,"3,113,000",2020,102,Europe
Nicaragua,nicaragua,"3,046,000",2017,103,Central America
Serbia,serbia,"3,000,000",2020,104,Europe
El-Salvador,el-salvador,"2,908,000",2019,105,Central America
Kyrgyzstan,kyrgyzstan,"2,841,000",2017,106,Central Asia
Denmark,denmark,"2,736,000",2020,107,Europe
Eritrea,eritrea,"2,710,000",2017,108,Africa
New-Zealand,new-zealand,"2,709,000",2020,109,Australia - Oceania
Norway,norway,"2,699,000",2020,110,Europe
Kuwait,kuwait,"2,695,000",2017,111,Middle East
Togo,togo,"2,595,000",2007,112,Africa
Finland,finland,"2,520,000",2020,113,Europe
Slovakia,slovakia,"2,511,000",2020,114,Europe
Turkmenistan,turkmenistan,"2,305,000",2013,115,Central Asia
Tajikistan,tajikistan,"2,295,000",2016,116,Central Asia
Ireland,ireland,"2,289,000",2020,117,Europe
Oman,oman,"2,255,000",2016,118,Middle East
Central-African-Republic,central-african-republic,"2,242,000",2017,119,Africa
Lebanon,lebanon,"2,166,000",2016,120,Middle East
Congo-Republic-of-the,congo-republic-of-the,"2,055,000",2016,121,Africa
Qatar,qatar,"1,953,000",2017,122,Middle East
Costa-Rica,costa-rica,"1,843,000",2020,123,Central America
Uruguay,uruguay,"1,748,000",2017,124,South America
Liberia,liberia,"1,677,000",2017,125,Africa
Croatia,croatia,"1,656,000",2020,126,Europe
Panama,panama,"1,633,000",2017,127,Central America
Armenia,armenia,"1,507,000",2017,128,Middle East
Mauritania,mauritania,"1,437,000",2017,129,Africa
Lithuania,lithuania,"1,333,000",2020,130,Europe
Moldova,moldova,"1,295,000",2017,131,Europe
Mongolia,mongolia,"1,241,000",2017,132,East Asia/Southeast Asia
Gaza-Strip,gaza-strip,"1,240,000",2017,133,Middle East
West-Bank,west-bank,"1,240,000",2017,134,Middle East
Botswana,botswana,"1,177,000",2017,135,Africa
Puerto-Rico,puerto-rico,"1,139,000",2014,136,Central America
Libya,libya,"1,114,000",2017,137,Africa
Jamaica,jamaica,"1,113,000",2020,138,Central America
Albania,albania,"1,104,000",2020,139,Europe
Namibia,namibia,"956,800",2017,140,Africa
Lesotho,lesotho,"930,800",2017,141,Africa
Latvia,latvia,"885,000",2020,142,Europe
Slovenia,slovenia,"885,000",2020,143,Europe
Bahrain,bahrain,"831,600",2017,144,Middle East
Bosnia-and-Herzegovina,bosnia-and-herzegovina,"806,000",2020,145,Europe
Gambia-The,gambia-the,"777,100",2007,147,Africa
Guinea-Bissau,guinea-bissau,"731,300",2013,148,Africa
Jordan,jordan,"731,000",2020,149,Middle East
Georgia,georgia,"686,000",2019,150,Middle East
