name,slug,percent_of_gdp,date_of_information,ranking,region
Solomon-Islands,solomon-islands,20.27,2018,1,Australia - Oceania
Liberia,liberia,13.27,2018,2,Africa
Burundi,burundi,10.31,2018,3,Africa
Guinea-Bissau,guinea-bissau,9.24,2018,4,Africa
Central-African-Republic,central-african-republic,8.99,2018,5,Africa
Congo-Democratic-Republic-of-the,congo-democratic-republic-of-the,8.72,2018,6,Africa
Uganda,uganda,7.32,2018,7,Africa
Sierra-Leone,sierra-leone,6.92,2018,8,Africa
Mozambique,mozambique,6.46,2018,9,Africa
Malawi,malawi,6.19,2018,10,Africa
Ethiopia,ethiopia,5.81,2018,11,Africa
Guinea,guinea,4.81,2018,12,Africa
Guyana,guyana,4.56,2018,13,South America
Burkina-Faso,burkina-faso,4.54,2018,14,Africa
Zambia,zambia,4.45,2018,15,Africa
Niger,niger,4.41,2018,16,Africa
Madagascar,madagascar,4.34,2018,17,Africa
Togo,togo,3.96,2018,18,Africa
Chad,chad,3.81,2018,19,Africa
Rwanda,rwanda,3.75,2018,20,Africa
Ghana,ghana,3.51,2018,21,Africa
Lesotho,lesotho,3.34,2018,22,Africa
Congo-Republic-of-the,congo-republic-of-the,3.17,2018,23,Africa
Sudan,sudan,3.01,2018,24,Africa
South-Sudan,south-sudan,2.65,2015,25,Africa
Gabon,gabon,2.6,2018,26,Africa
Cameroon,cameroon,2.5,2018,27,Africa
Gambia-The,gambia-the,2.47,2018,28,Africa
Suriname,suriname,2.36,2018,29,South America
Eswatini,eswatini,2.25,2018,30,Africa
Benin,benin,2.24,2018,31,Africa
Tanzania,tanzania,2.19,2018,32,Africa
Papua-New-Guinea,papua-new-guinea,2.08,2018,33,East Asia/Southeast Asia
Cote-d'Ivoire,cote-divoire,2.04,2016,34,Africa
Mali,mali,2.02,2018,35,Africa
Sao-Tome-and-Principe,sao-tome-and-principe,1.9,2018,36,Africa
Bhutan,bhutan,1.89,2018,37,South Asia
Burma,burma,1.69,2018,38,East Asia/Southeast Asia
Zimbabwe,zimbabwe,1.61,2018,39,Africa
Malaysia,malaysia,1.57,2018,40,East Asia/Southeast Asia
Uruguay,uruguay,1.56,2018,41,South America
Equatorial-Guinea,equatorial-guinea,1.52,2018,42,Africa
Vietnam,vietnam,1.49,2018,43,East Asia/Southeast Asia
Laos,laos,1.48,2018,44,East Asia/Southeast Asia
Senegal,senegal,1.46,2018,45,Africa
Comoros,comoros,1.39,2018,46,Africa
Kenya,kenya,1.3,2018,47,Africa
Mauritania,mauritania,1.3,2018,48,Africa
Nicaragua,nicaragua,1.26,2018,49,Central America
Paraguay,paraguay,1.21,2018,50,South America
Tajikistan,tajikistan,1.12,2018,51,Central Asia
Belarus,belarus,1.02,2018,52,Europe
Nigeria,nigeria,1.02,2018,53,Africa
Honduras,honduras,0.91,2018,54,Central America
Estonia,estonia,0.85,2018,55,Europe
Latvia,latvia,0.85,2018,56,Europe
Cambodia,cambodia,0.84,2018,57,East Asia/Southeast Asia
Costa-Rica,costa-rica,0.82,2018,58,Central America
