name,slug,value_precent,date_of_information,ranking,region
Cocos-(Keeling)-Islands,cocos-keeling-islands,0.1,2011,1,Australia - Oceania
Cambodia,cambodia,0.3,2017,2,East Asia/Southeast Asia
Niger,niger,0.3,2017,3,Africa
Laos,laos,0.7,2017,4,East Asia/Southeast Asia
Malta,malta,0.78,2019,5,Europe
Belarus,belarus,0.8,2017,6,Europe
Thailand,thailand,0.99,2019,7,East Asia/Southeast Asia
Benin,benin,1,2014,8,Africa
Falkland-Islands-(Islas-Malvinas),falkland-islands-islas-malvinas,1,2016,9,South America
Gibraltar,gibraltar,1,2016,10,Europe
Isle-of-Man,isle-of-man,1.1,2017,11,Europe
Kuwait,kuwait,1.1,2017,12,Middle East
Tonga,tonga,1.1,2011,13,Australia - Oceania
Guernsey,guernsey,1.2,2016,14,Europe
United-Arab-Emirates,united-arab-emirates,1.6,2016,15,Middle East
Palau,palau,1.7,2015,16,Australia - Oceania
Vanuatu,vanuatu,1.7,1999,17,Australia - Oceania
Madagascar,madagascar,1.8,2017,18,Africa
Macau,macau,2,2017,19,East Asia/Southeast Asia
Monaco,monaco,2,2012,20,Europe
Tokelau,tokelau,2,2015,21,Australia - Oceania
Faroe-Islands,faroe-islands,2.2,2017,22,Europe
Singapore,singapore,2.25,2019,23,East Asia/Southeast Asia
Guatemala,guatemala,2.3,2017,24,Central America
Switzerland,switzerland,2.31,2019,25,Europe
Japan,japan,2.36,2019,26,East Asia/Southeast Asia
Liechtenstein,liechtenstein,2.4,2015,27,Europe
Tajikistan,tajikistan,2.4,2016,28,Central Asia
Papua-New-Guinea,papua-new-guinea,2.5,2017,29,East Asia/Southeast Asia
Cuba,cuba,2.6,2017,30,Central America
Guinea,guinea,2.7,2017,31,Africa
Rwanda,rwanda,2.7,2014,32,Africa
Czechia,czechia,2.8,2019,33,Europe
Liberia,liberia,2.8,2014,34,Africa
British-Virgin-Islands,british-virgin-islands,2.9,2015,35,Central America
Maldives,maldives,2.9,2017,36,South Asia
Hong-Kong,hong-kong,2.93,2019,37,East Asia/Southeast Asia
Nepal,nepal,3,2017,38,South Asia
Seychelles,seychelles,3,2017,39,Africa
Denmark,denmark,3.05,2019,40,Europe
Romania,romania,3.06,2019,41,Europe
Vietnam,vietnam,3.11,2018,42,East Asia/Southeast Asia
United-Kingdom,united-kingdom,3.17,2019,43,Europe
Kyrgyzstan,kyrgyzstan,3.18,2019,44,Central Asia
Bhutan,bhutan,3.2,2017,45,South Asia
Malaysia,malaysia,3.3,2019,46,East Asia/Southeast Asia
Netherlands,netherlands,3.41,2019,47,Europe
Hungary,hungary,3.45,2019,48,Europe
Mexico,mexico,3.49,2019,49,North America
Bahrain,bahrain,3.6,2017,50,Middle East
Iceland,iceland,3.62,2019,51,Europe
China,china,3.64,2019,52,East Asia/Southeast Asia
Andorra,andorra,3.7,2016,53,Europe
Norway,norway,3.72,2019,54,Europe
Taiwan,taiwan,3.73,2019,55,East Asia/Southeast Asia
Korea-South,korea-south,3.76,2019,56,East Asia/Southeast Asia
Israel,israel,3.81,2019,57,Middle East
United-States,united-states,3.89,2018,58,North America
Bolivia,bolivia,4,2017,59,South America
Burma,burma,4,2017,60,East Asia/Southeast Asia
