name,slug,value_dollar,date_of_information,ranking,region
China,china,"2,490,000,000,000",2018,1,East Asia/Southeast Asia
United-States,united-states,"2,377,156,000,000",2019,2,North America
Germany,germany,"2,004,158,000,000",2019,3,Europe
Japan,japan,"1,084,146,000,000",2019,4,East Asia/Southeast Asia
France,france,"969,077,000,000",2019,5,Europe
United-Kingdom,united-kingdom,"901,882,000,000",2019,6,Europe
Netherlands,netherlands,"857,574,000,000",2019,7,Europe
Italy,italy,"687,340,000,000",2019,8,Europe
Korea-South,korea-south,"683,996,000,000",2019,9,East Asia/Southeast Asia
Singapore,singapore,"626,680,000,000",2019,10,East Asia/Southeast Asia
Canada,canada,"618,762,000,000",2019,11,North America
India,india,"572,073,000,000",2019,12,South Asia
Hong-Kong,hong-kong,"568,877,000,000",2019,13,East Asia/Southeast Asia
Russia,russia,"551,128,000,000",2019,14,Central Asia
Ireland,ireland,"541,789,000,000",2019,15,Europe
Spain,spain,"533,771,000,000",2019,16,Europe
Mexico,mexico,"491,593,000,000",2019,17,North America
Belgium,belgium,"474,278,000,000",2019,18,Europe
Switzerland,switzerland,"443,997,000,000",2019,19,Europe
Australia,australia,"404,562,000,000",2019,20,Australia - Oceania
Poland,poland,"394,848,000,000",2019,21,Europe
Taiwan,taiwan,"388,490,000,000",2019,22,East Asia/Southeast Asia
Turkey,turkey,"310,671,000,000",2019,23,Middle East
United-Arab-Emirates,united-arab-emirates,"308,500,000,000",2017,24,Middle East
Sweden,sweden,"302,650,000,000",2019,25,Europe
Brazil,brazil,"291,452,000,000",2019,26,South America
Thailand,thailand,"291,169,000,000",2019,27,East Asia/Southeast Asia
Austria,austria,"270,888,000,000",2019,28,Europe
Malaysia,malaysia,"265,499,000,000",2019,29,East Asia/Southeast Asia
Indonesia,indonesia,"249,628,000,000",2019,30,East Asia/Southeast Asia
Vietnam,vietnam,"248,953,000,000",2019,31,East Asia/Southeast Asia
Czechia,czechia,"229,578,000,000",2019,32,Europe
Denmark,denmark,"226,589,000,000",2019,33,Europe
Saudi-Arabia,saudi-arabia,"221,100,000,000",2017,34,Middle East
Norway,norway,"185,101,000,000",2019,35,Europe
